Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
Seychelles	43235		167.0		42553.0		515.0		434597.0	1679.0			99483.0	Africa	2022-05-14
CuraÃÂ§ao	43017		275.0		42203.0		539.0	3.0	260165.0	1663.0	496693.0	3003980.0	165345.0	North America	2022-05-14
Andorra	42156		153.0		41021.0		982.0	14.0	543976.0	1974.0	249838.0	3223883.0	77496.0	Europe	2022-05-14
Burundi	41235		38.0						3285.0	3.0	345742.0	27547.0	12550971.0	Africa	2022-05-14
Mauritius	37843		996.0		36183.0		664.0		29664.0	781.0	358675.0	281158.0	1275704.0	Africa	2022-05-14
Mayotte	37363		187.0		2964.0		34212.0		131058.0	656.0	176919.0	620577.0	285088.0	Africa	2022-05-14
Togo	37020	3.0	273.0		36724.0	2.0	23.0		4284.0	32.0	735269.0	85096.0	8640497.0	Africa	2022-05-14
Guinea	36597	138.0	442.0	2.0	36113.0	137.0	42.0	8.0	2653.0	32.0	660107.0	47845.0	13796908.0	Africa	2022-05-14
Aruba	35693		213.0		35199.0		281.0		331682.0	1979.0	177885.0	1653022.0	107612.0	North America	2022-05-14
Tanzania	35354		840.0					7.0	562.0	13.0			62906123.0	Africa	2022-05-14
Faeroe Islands	34658		28.0		7693.0		26937.0	5.0	704302.0	569.0	778000.0	15810116.0	49209.0	Europe	2022-05-14
Bahamas	33871	20.0	801.0		32488.0	11.0	582.0		84624.0	2001.0	233473.0	583315.0	400252.0	North America	2022-05-14
Lesotho	32910		697.0		24155.0		8058.0		15139.0	321.0	431221.0	198361.0	2173924.0	Africa	2022-05-14
Mali	31003	12.0	733.0		30088.0	19.0	182.0		1453.0	34.0	675008.0	31634.0	21338213.0	Africa	2022-05-14
Haiti	30713		835.0		29605.0		273.0		2634.0	72.0	132422.0	11355.0	11661781.0	North America	2022-05-14
Isle of Man	28416		105.0		26794.0		1517.0		330911.0	1223.0	150753.0	1755555.0	85872.0	Europe	2022-05-14
Benin	26952		163.0		25506.0		1283.0	5.0	2120.0	13.0	604310.0	47527.0	12715211.0	Africa	2022-05-14
Somalia	26518		1350.0		13182.0		11986.0		1586.0	81.0	400466.0	23952.0	16719860.0	Africa	2022-05-14
Saint Lucia	24164		368.0		23207.0		589.0	1.0	130481.0	1987.0	143281.0	773689.0	185192.0	North America	2022-05-14
Congo	24079		385.0		20178.0		3516.0		4172.0	67.0	347815.0	60266.0	5771321.0	Africa	2022-05-14
Cayman Islands	23578		28.0		8553.0		14997.0	1.0	351067.0	417.0	222773.0	3316999.0	67161.0	North America	2022-05-14
Timor-Leste	22889	1.0	131.0		22746.0		12.0		16765.0	96.0	264799.0	193953.0	1365272.0	Asia	2022-05-14
Burkina Faso	20853		382.0		20439.0		32.0		949.0	17.0	248995.0	11332.0	21971868.0	Africa	2022-05-14
Nicaragua	18491		225.0		4225.0		14041.0		2731.0	33.0			6771553.0	North America	2022-05-14
Solomon Islands	18174		146.0		16357.0		1671.0	2.0	25302.0	203.0	5117.0	7124.0	718290.0	Australia/Oceania	2022-05-14
Gibraltar	18129		102.0		16579.0		1448.0		538400.0	3029.0	534283.0	15867278.0	33672.0	Europe	2022-05-14
South Sudan	17525		138.0		13514.0		3873.0	1.0	1532.0	12.0	389677.0	34067.0	11438494.0	Africa	2022-05-14
Tajikistan	17388		124.0		17264.0		0.0		1750.0	12.0			9937080.0	Asia	2022-05-14
Liechtenstein	17333	4.0	84.0		17179.0	13.0	70.0	1.0	452181.0	2191.0	102174.0	2665501.0	38332.0	Europe	2022-05-14
San Marino	16852		115.0		16454.0		283.0	4.0	494716.0	3376.0	152231.0	4468970.0	34064.0	Europe	2022-05-14
Grenada	16344		221.0		14634.0		1489.0	4.0	144006.0	1947.0	157363.0	1386519.0	113495.0	North America	2022-05-14
Equatorial Guinea	15910		183.0		15701.0		26.0	5.0	10686.0	123.0	317211.0	213050.0	1488904.0	Africa	2022-05-14
Djibouti	15631		189.0		15427.0		15.0		15403.0	186.0	305941.0	301480.0	1014796.0	Africa	2022-05-14
CAR	14649		113.0		6859.0		7677.0	2.0	2938.0	23.0	81294.0	16303.0	4986366.0	Africa	2022-05-14
Bermuda	14135		135.0		13664.0		336.0		228540.0	2183.0	893980.0	14454235.0	61849.0	North America	2022-05-14
Dominica	12685		63.0		12323.0		299.0		175403.0	871.0	194894.0	2694921.0	72319.0	North America	2022-05-14
Monaco	12004	2.0	54.0		11866.0	13.0	84.0	4.0	301904.0	1358.0	54960.0	1382259.0	39761.0	Europe	2022-05-14
Gambia	11999		365.0		11591.0		43.0		4718.0	144.0	155686.0	61216.0	2543240.0	Africa	2022-05-14
Greenland	11971		21.0		2761.0		9189.0	4.0	210187.0	369.0	164926.0	2895776.0	56954.0	North America	2022-05-14
Yemen	11819		2149.0		9009.0		661.0	23.0	381.0	69.0	265253.0	8543.0	31050814.0	Asia	2022-05-14
Samoa	11313		24.0		1605.0		9684.0	4.0	56319.0	119.0	85921.0	427738.0	200873.0	Australia/Oceania	2022-05-14
Tonga	11049		11.0		10110.0		928.0		102373.0	102.0	518262.0	4801879.0	107929.0	Australia/Oceania	2022-05-14
Saint Martin	10602		63.0		1399.0		9140.0	7.0	265741.0	1579.0	112382.0	2816874.0	39896.0	North America	2022-05-14
Sint Maarten	10123		86.0		9985.0		52.0	10.0	231203.0	1964.0	62056.0	1417321.0	43784.0	North America	2022-05-14
Caribbean Netherlands	9915		35.0		9829.0		51.0		371655.0	1312.0	30126.0	1129245.0	26678.0	North America	2022-05-14
Eritrea	9745		103.0		9632.0		10.0		2679.0	28.0	23693.0	6513.0	3637963.0	Africa	2022-05-14
Niger	9013		310.0		8579.0		124.0	1.0	349.0	12.0	253043.0	9793.0	25839880.0	Africa	2022-05-14
Vanuatu	8382	93.0	14.0		7974.0	98.0	394.0		26151.0	44.0	24976.0	77922.0	320527.0	Australia/Oceania	2022-05-14
Guinea-Bissau	8222	6.0	171.0		8010.0	5.0	41.0	6.0	4002.0	83.0	136655.0	66508.0	2054726.0	Africa	2022-05-14
Comoros	8100		160.0		7933.0		7.0		8959.0	177.0			904142.0	Africa	2022-05-14
Antigua and Barbuda	7721		137.0		7511.0		73.0	1.0	77644.0	1378.0	18901.0	190073.0	99441.0	North America	2022-05-14
Sierra Leone	7682		125.0						928.0	15.0	259958.0	31398.0	8279472.0	Africa	2022-05-14
Liberia	7451		294.0		5747.0		1410.0	2.0	1411.0	56.0	139824.0	26485.0	5279325.0	Africa	2022-05-14
