"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date,Tests/1M pop ,"Country	""Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious""	""Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent"""
Hong Kong,1198438.0,613.0,9159.0,20.0,,,,115.0,157563.0,1204.0,44972952.0,5912739.0,7606111.0,Asia,2022-04-18,,
Morocco,1164411.0,30.0,16064.0,1.0,1147740.0,66.0,607.0,293.0,30890.0,426.0,11237010.0,298100.0,37695462.0,Africa,2022-04-18,,
Singapore,1162780.0,2480.0,1316.0,,1097300.0,3396.0,64164.0,9.0,195989.0,222.0,23611604.0,3979777.0,5932896.0,Asia,2022-04-18,,
Bulgaria,1150342.0,895.0,36810.0,26.0,952493.0,3290.0,161039.0,112.0,167820.0,5370.0,9760647.0,1423953.0,6854612.0,Europe,2022-04-18,,
Croatia,1113547.0,30.0,15742.0,7.0,1093859.0,822.0,3946.0,23.0,274283.0,3877.0,4743521.0,1168398.0,4059850.0,Europe,2022-04-18,,
Cuba,1100073.0,337.0,8521.0,1.0,1089838.0,433.0,1714.0,23.0,97229.0,753.0,12920253.0,1141949.0,11314212.0,North America,2022-04-18,,
Lebanon,1095685.0,72.0,10363.0,3.0,1076531.0,,8791.0,186.0,161830.0,1531.0,4795578.0,708293.0,6770609.0,Asia,2022-04-18,,
Lithuania,1049801.0,418.0,9024.0,4.0,1007222.0,1387.0,33555.0,44.0,395530.0,3400.0,8183615.0,3083313.0,2654163.0,Europe,2022-04-18,,
Tunisia,1038668.0,,28509.0,,,,,29.0,86265.0,2368.0,4547755.0,377705.0,12040494.0,Africa,2022-04-18,,
Slovenia,997791.0,393.0,6560.0,3.0,968880.0,806.0,22351.0,30.0,479834.0,3155.0,2634315.0,1266832.0,2079451.0,Europe,2022-04-18,,
Nepal,978674.0,9.0,11951.0,,966373.0,34.0,350.0,,32539.0,397.0,5600115.0,186194.0,30076806.0,Asia,2022-04-18,,
